wgt,gender,age,ed_lvl,income_q,employed,rural,account,savings,loans,mobile,internet,wages_1,wages_2,wages_3,wages_4,transfers_1,transfers_2,transfers_3,transfers_4,pension_1,pension_2,pension_3,pension_4,agri_sale_1,agri_sale_2,agri_sale_3,agri_sale_4,utilities_1,utilities_2,utilities_3,utilities_4,remittances_1,remittances_2,remittances_3,remittances_4
0.33,0,18,3,3,1,0,1,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
1.33,1,41,1,1,1,1,1,0,0,1,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
1.46,1,23,1,2,0,1,1,0,1,0,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.39,0,17,2,2,1,0,1,0,0,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
2.42,1,27,1,1,0,1,1,1,0,1,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
1.16,1,45,3,5,0,1,1,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.27,1,48,2,2,0,0,1,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.59,0,27,1,3,1,0,1,0,0,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
1.21,0,35,2,1,1,1,0,0,0,1,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.71,0,16,2,1,1,0,0,0,0,1,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.37,1,28,3,4,0,1,1,1,0,0,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
0.75,0,57,1,5,1,1,1,1,0,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.95,1,17,2,1,0,1,1,1,1,0,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
0.56,1,50,2,5,0,1,1,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
0.28,0,29,3,5,1,0,1,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False
0.43,0,21,2,3,1,0,1,0,0,0,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
2.42,1,34,2,2,0,1,1,1,1,0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
1.89,1,57,2,5,0,1,1,1,1,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
1.2,1,45,1,4,0,1,1,0,0,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.56,0,39,2,5,1,0,1,0,1,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
2.42,0,45,1,3,1,1,1,0,1,1,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
0.4,0,18,2,2,1,1,1,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
2.07,0,75,1,2,1,0,1,0,0,1,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
1.67,0,23,1,3,0,0,1,0,0,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
1.79,0,28,1,1,1,0,0,0,0,1,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.5,0,35,1,2,1,0,1,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.96,1,28,2,5,0,1,1,1,1,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.26,1,24,3,5,0,1,1,1,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.6,1,30,1,4,1,0,1,0,0,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.59,0,48,1,4,0,0,1,1,1,1,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.9,1,30,1,4,0,1,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
2.42,0,28,1,1,1,0,1,0,1,1,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
1.75,1,65,1,1,1,0,0,0,1,0,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
1.53,0,35,1,2,0,0,1,0,0,0,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
0.73,1,40,2,4,0,1,1,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False
0.34,1,39,2,4,0,0,1,1,1,0,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
0.59,1,27,1,3,0,0,1,0,1,0,0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1.09,1,18,2,5,0,0,0,1,1,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
1.59,1,18,3,5,1,1,1,1,1,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
1.07,1,72,1,2,0,0,1,0,0,1,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
0.49,0,36,2,2,1,1,1,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
1.0,0,40,1,2,1,1,1,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.54,0,41,2,4,0,0,1,1,1,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
0.24,1,34,3,1,0,1,1,0,1,0,0,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
0.22,1,27,3,5,1,0,1,1,0,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
0.94,0,50,1,2,0,0,1,0,1,1,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
1.05,1,50,1,1,0,0,1,0,0,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
2.29,0,47,1,3,0,0,1,0,1,1,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
1.14,1,36,1,4,0,1,1,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
0.9,1,21,3,5,1,1,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.28,1,32,2,4,0,0,1,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.71,0,22,1,1,1,0,0,0,1,1,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.96,0,34,2,5,1,1,1,1,1,0,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
0.58,1,20,2,3,0,0,0,1,1,0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.72,0,46,1,3,0,0,1,0,1,1,1,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
0.73,0,48,1,4,0,1,1,0,1,1,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
0.84,0,60,1,4,0,0,1,0,0,1,1,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
0.24,1,25,3,3,0,0,1,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
