wgt,gender,age,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet
0.33,1,18,3,3,2,1,1,0,0,4,4,4,4,2,5,1,1
1.33,2,41,1,1,2,2,1,0,0,4,4,4,4,1,5,2,2
1.46,2,23,1,2,1,2,1,0,1,2,4,4,4,2,5,1,2
0.39,1,17,2,2,2,1,1,0,0,4,4,4,4,4,5,1,2
2.42,2,27,1,1,1,2,1,1,0,4,3,4,4,3,5,2,2
1.16,2,45,3,5,1,2,1,0,0,4,4,4,4,4,5,1,1
0.27,2,48,2,2,1,1,1,0,0,4,4,4,4,2,5,1,1
0.59,1,27,1,3,2,1,1,0,0,4,4,4,4,4,5,1,2
1.21,1,35,2,1,2,2,0,0,0,4,4,4,4,4,5,2,2
0.71,1,16,2,1,2,1,0,0,0,4,4,4,4,4,5,2,2
0.37,2,28,3,4,1,2,1,1,0,4,2,4,4,3,5,1,1
0.75,1,57,1,5,2,2,1,1,0,4,4,4,4,2,5,1,2
0.95,2,17,2,1,1,2,1,1,1,1,4,4,4,4,3,1,2
0.56,2,50,2,5,1,2,1,0,1,4,4,4,4,1,5,1,2
0.28,1,29,3,5,2,1,1,0,0,4,4,4,4,4,1,1,1
0.43,1,21,2,3,2,1,1,0,0,3,4,4,4,4,5,1,2
2.42,2,34,2,2,1,2,1,1,1,2,4,4,4,2,5,1,1
1.89,2,57,2,5,1,2,1,1,1,4,4,4,4,1,1,1,1
1.2,2,45,1,4,1,2,1,0,0,4,4,4,4,4,5,1,2
0.56,1,39,2,5,2,1,1,0,1,4,4,4,4,1,1,1,1
2.42,1,45,1,3,2,2,1,0,1,4,3,4,4,2,3,2,2
0.4,1,18,2,2,2,2,1,0,0,4,4,4,4,4,5,1,1
2.07,1,75,1,2,2,1,1,0,0,4,4,4,4,4,5,2,2
1.67,1,23,1,3,1,1,1,0,0,4,4,4,4,4,3,1,2
1.79,1,28,1,1,2,1,0,0,0,4,4,4,4,4,5,2,2
0.5,1,35,1,2,2,1,1,0,1,4,4,4,4,4,5,1,2
0.96,2,28,2,5,1,2,1,1,1,4,4,4,4,2,5,1,1
0.26,2,24,3,5,1,2,1,1,0,4,4,4,4,2,5,1,1
0.6,2,30,1,4,2,1,1,0,0,4,4,4,4,4,5,1,2
0.59,1,48,1,4,1,1,1,1,1,4,4,4,4,4,5,2,2
0.9,2,30,1,4,1,2,0,0,0,4,4,4,4,4,5,1,1
2.42,1,28,1,1,2,1,1,0,1,4,4,4,4,4,5,2,2
1.75,2,65,1,1,2,1,0,0,1,2,4,4,4,4,5,1,2
1.53,1,35,1,2,1,1,1,0,0,4,3,4,4,4,4,1,2
0.73,2,40,2,4,1,2,1,0,0,4,4,4,4,4,1,1,1
0.34,2,39,2,4,1,1,1,1,1,4,1,4,4,1,1,1,1
0.59,2,27,1,3,1,1,1,0,1,1,4,1,4,2,3,1,1
1.09,2,18,2,5,1,1,0,1,1,4,4,4,4,4,3,1,1
1.59,2,18,3,5,2,2,1,1,1,4,4,4,4,4,5,1,1
1.07,2,72,1,2,1,1,1,0,0,4,4,1,4,2,5,2,2
0.49,1,36,2,2,2,2,1,0,0,4,4,4,4,4,5,1,1
