"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10_1a","fin10_1b","fin10_1c","fin10_1d","fin10_1e","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"India","IND",199893106,0.325736094404951,1,18,3,3,2,1,1,1,1,2,1,2,,,1,1,2,,,,2,,2,,,,,,,1,,,,,,,,,,1,2,2,1,2,,,2,2,2,,,,2,2,2,2,2,2,2,,4,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,4,1,,0,0,4,4,4,4,2,5,1,1,1,0
"India","IND",124497814,1.32732808021845,2,41,1,1,2,2,1,1,0,1,2,2,,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,3,,2,2,2,2,,2,3,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,2,1,,0,0,4,4,4,4,1,5,2,2,1,0
"India","IND",183293857,1.46184340306218,2,23,1,2,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,1,1,1,1,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,4,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,3,1,1,3,2,,0,1,2,4,4,4,2,5,1,2,0,0
"India","IND",152780466,0.390209498970477,1,17,2,2,2,1,1,1,0,2,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,5,1,2,0,0
"India","IND",205473124,2.41692670492018,2,27,1,1,1,2,1,1,0,1,1,2,,,2,2,2,,,,2,,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,8,,,2,,,,2,,,,1,2,2,,,2,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,1,1,1,,1,0,4,3,4,4,3,5,2,2,0,0
"India","IND",178577766,1.15923254842205,2,45,3,5,1,2,1,1,0,1,2,1,1,2,1,1,1,2,,2,2,,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,1,1,2,1,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,0,0,4,4,4,4,4,5,1,1,1,0
"India","IND",164347218,0.272743111195708,2,48,2,2,1,1,1,1,0,2,3,1,2,,2,2,2,,,,2,,2,1,2,1,2,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,2,5,1,1,0,0
"India","IND",165129867,0.586724681947751,1,27,1,3,2,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,2,1,1,2,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,3,3,1,,0,0,4,4,4,4,4,5,1,2,0,0
"India","IND",203022308,1.21107318726986,1,35,2,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,3,3,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,4,5,2,2,0,0
"India","IND",186920918,0.706114774554139,1,16,2,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,2,1,2,2,2,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,3,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,5,2,2,0,0
"India","IND",179230569,0.373915850959873,2,28,3,4,1,2,1,1,0,1,2,1,1,2,2,1,2,,,,2,,1,,,,,,1,1,,,,,,,,,,,,,,2,,,1,1,1,1,2,,1,1,,2,2,2,2,,1,3,3,2,,,,2,,,,1,2,2,,,2,2,,,,,,,1,2,2,2,1,,2,,,,,,3,3,3,4,,1,,1,0,4,2,4,4,3,5,1,1,1,1
"India","IND",208332657,0.754650531338006,1,57,1,5,2,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,1,2,2,2,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,2,2,2,,1,3,3,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,4,2,2,,1,0,4,4,4,4,2,5,1,2,0,0
"India","IND",210219992,0.951115804890918,2,17,2,1,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,2,,,1,2,2,,,,1,1,,1,2,1,2,2,3,1,1,2,,,,1,2,1,2,2,,,,,,1,2,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,1,1,1,,1,1,1,4,4,4,4,3,1,2,1,0
"India","IND",179477226,0.563038643489356,2,50,2,5,1,2,1,1,0,2,2,1,2,,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,3,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,3,3,2,2,,0,1,4,4,4,4,1,5,1,2,1,0
"India","IND",199335103,0.282274252683158,1,29,3,5,2,1,1,1,1,2,1,1,1,1,1,1,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,1,2,2,1,1,2,,1,1,1,3,2,,2,2,2,2,2,2,2,,2,1,1,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,0,0,4,4,4,4,4,1,1,1,1,1
"India","IND",190284266,0.429561325319321,1,21,2,3,2,1,1,1,0,1,2,2,,,2,2,2,,,,2,,2,1,2,1,1,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,2,2,,2,2,,,,,2,,,,,,2,3,2,3,1,1,,0,0,3,4,4,4,4,5,1,2,0,0
"India","IND",167948093,2.41692670492018,2,34,2,2,1,2,1,1,1,2,2,1,1,1,1,1,2,,,,2,,2,,,,,,,2,,,,,,,,,,2,2,1,1,1,1,,1,1,2,,,,2,2,1,2,1,2,2,,2,1,4,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,1,2,4,4,4,2,5,1,1,1,1
"India","IND",137704474,1.88714974272905,2,57,2,5,1,2,1,1,1,2,1,1,2,,1,1,2,,,,2,,2,,,,,,,1,,,,,,,,,,1,1,2,1,1,2,,1,1,1,1,2,,1,1,1,1,1,1,2,2,1,2,2,1,1,,,1,1,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,2,,1,1,4,4,4,4,1,1,1,1,1,1
"India","IND",205583218,1.19695648553998,2,45,1,4,1,2,1,1,0,2,2,2,,,2,2,2,,,,1,2,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,2,,0,0,4,4,4,4,4,5,1,2,0,0
"India","IND",120469001,0.563149399629843,1,39,2,5,2,1,1,1,1,,,1,1,1,1,1,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,1,2,1,2,1,2,,1,1,1,3,1,,2,2,2,2,2,2,1,,2,1,1,1,1,,,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,1,1,4,1,,0,1,4,4,4,4,1,1,1,1,1,1
"India","IND",179666440,2.41692670492018,1,45,1,3,2,2,1,1,0,2,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,7,,,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,1,3,1,,0,1,4,3,4,4,2,3,2,2,0,0
"India","IND",186648692,0.399136560274393,1,18,2,2,2,2,1,1,0,2,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,5,1,1,0,0
"India","IND",165995789,2.06826200560897,1,75,1,2,2,1,1,1,0,2,1,2,,,2,2,2,,,,2,,2,2,2,2,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,3,3,1,,0,0,4,4,4,4,4,5,2,2,0,0
"India","IND",170654715,1.67413138272878,1,23,1,3,1,1,1,1,0,1,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,1,2,1,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,3,1,2,0,0
