wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,mobile,internet,wages_2,wages_3,wages_4,transfers_2,transfers_3,transfers_4,pension_2,pension_3,pension_4,agri_sale_2,agri_sale_3,agri_sale_4,utilities_2,utilities_3,utilities_4,remittances_2,remittances_3,remittances_4,age_sqrt
0.33,0,3,3,1,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,4.242640687119285
1.33,1,1,1,1,1,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,6.4031242374328485
1.46,1,1,2,0,1,1,0,1,0,1,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,4.795831523312719
0.39,0,2,2,1,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.123105625617661
2.42,1,1,1,0,1,1,1,0,1,1,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,5.196152422706632
1.16,1,3,5,0,1,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708203932499369
0.27,1,2,2,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,6.928203230275509
0.59,0,1,3,1,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.196152422706632
1.21,0,2,1,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.916079783099616
0.71,0,2,1,1,0,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.0
0.37,1,3,4,0,1,1,1,0,0,0,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,5.291502622129181
0.75,0,1,5,1,1,1,1,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.54983443527075
0.95,1,2,1,0,1,1,1,1,0,1,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,4.123105625617661
0.56,1,2,5,0,1,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,7.0710678118654755
0.28,0,3,5,1,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,5.385164807134504
0.43,0,2,3,1,0,1,0,0,0,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
2.42,1,2,2,0,1,1,1,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.830951894845301
1.89,1,2,5,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,7.54983443527075
1.2,1,1,4,0,1,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708203932499369
0.56,0,2,5,1,0,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,6.244997998398398
2.42,0,1,3,1,1,1,0,1,1,1,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,6.708203932499369
0.4,0,2,2,1,1,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.242640687119285
2.07,0,1,2,1,0,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,8.660254037844387
1.67,0,1,3,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,4.795831523312719
