wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet,age_sqrt
0.33,0,1.0,0.5,1,0,1,0,0,1,1,1,1,0,1,0,0,0.07629958542132087
1.33,1,0.0,0.0,1,1,1,0,0,1,1,1,1,0,1,1,1,0.5222368926363552
1.46,1,0.0,0.25,0,1,1,0,1,0,1,1,1,0,1,0,1,0.1904816313028227
0.39,0,0.5,0.25,1,0,1,0,0,1,1,1,1,1,1,0,1,0.05162680166599842
2.42,1,0.0,0.0,0,1,1,1,0,1,0,1,1,0,1,1,1,0.2731103668336776
1.16,1,1.0,1.0,0,1,1,0,0,1,1,1,1,1,1,0,0,0.5852072483626012
0.27,1,0.5,0.25,0,0,1,0,0,1,1,1,1,0,1,0,0,0.6306164783589376
0.59,0,0.0,0.5,1,0,1,0,0,1,1,1,1,1,1,0,1,0.2731103668336776
1.21,0,0.5,0.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0.42170787336756455
0.71,0,0.5,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,0.02621703116207852
0.37,1,1.0,0.75,0,1,1,1,0,1,0,1,1,0,1,0,0,0.29279124390711675
0.75,0,0.0,1.0,1,1,1,1,0,1,1,1,1,0,1,0,1,0.758925044094688
0.95,1,0.5,0.0,0,1,1,1,1,0,1,1,1,1,0,0,1,0.05162680166599842
0.56,1,0.5,1.0,0,1,1,0,1,1,1,1,1,0,1,0,1,0.6601046208636034
0.28,0,1.0,1.0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.3121237042552123
0.43,0,0.5,0.5,1,0,1,0,0,0,1,1,1,1,1,0,1,0.14646429553945794
2.42,1,0.5,0.25,0,1,1,1,1,0,1,1,1,0,1,0,0,0.4041369452058934
1.89,1,0.5,1.0,0,1,1,1,1,1,1,1,1,0,0,0,0,0.758925044094688
1.2,1,0.0,0.75,0,1,1,0,0,1,1,1,1,1,1,0,1,0.5852072483626012
0.56,0,0.5,1.0,1,0,1,0,1,1,1,1,1,0,0,0,0,0.48959864865397007
2.42,0,0.0,0.5,1,1,1,0,1,1,0,1,1,0,0,1,1,0.5852072483626012
0.4,0,0.5,0.25,1,1,1,0,0,1,1,1,1,1,1,0,0,0.07629958542132087
2.07,0,0.0,0.25,1,0,1,0,0,1,1,1,1,1,1,1,1,0.9881225898841981
1.67,0,0.0,0.5,0,0,1,0,0,1,1,1,1,1,0,0,1,0.1904816313028227
1.79,0,0.0,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,0.29279124390711675
0.5,0,0.0,0.25,1,0,1,0,1,1,1,1,1,1,1,0,1,0.42170787336756455
0.96,1,0.5,1.0,0,1,1,1,1,1,1,1,1,0,1,0,0,0.29279124390711675
0.26,1,1.0,1.0,0,1,1,1,0,1,1,1,1,0,1,0,0,0.21177201535847945
0.6,1,0.0,0.75,1,0,1,0,0,1,1,1,1,1,1,0,1,0.33112562210789265
0.59,0,0.0,0.75,0,0,1,1,1,1,1,1,1,1,1,1,1,0.6306164783589376
0.9,1,0.0,0.75,0,1,0,0,0,1,1,1,1,1,1,0,0,0.33112562210789265
2.42,0,0.0,0.0,1,0,1,0,1,1,1,1,1,1,1,1,1,0.29279124390711675
1.75,1,0.0,0.0,1,0,0,0,1,0,1,1,1,1,1,0,1,0.8646924184089513
1.53,0,0.0,0.25,0,0,1,0,0,1,0,1,1,1,0,0,1,0.42170787336756455
0.73,1,0.5,0.75,0,1,1,0,0,1,1,1,1,1,0,0,0,0.5060197771135149
0.34,1,0.5,0.75,0,0,1,1,1,1,0,1,1,0,0,0,0,0.48959864865397007
0.59,1,0.0,0.5,0,0,1,0,1,0,1,0,1,0,0,0,0,0.2731103668336776
1.09,1,0.5,1.0,0,0,0,1,1,1,1,1,1,1,0,0,0,0.07629958542132087
1.59,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.07629958542132087
1.07,1,0.0,0.25,0,0,1,0,0,1,1,0,1,0,1,1,1,0.9520071385847444
0.49,0,0.5,0.25,1,1,1,0,0,1,1,1,1,1,1,0,0,0.43902953061416916
1.0,0,0.0,0.25,1,1,1,0,1,1,1,1,1,1,1,0,1,0.5060197771135149
0.54,0,0.5,0.75,0,0,1,1,1,1,1,1,1,0,1,0,1,0.5222368926363552
0.24,1,1.0,0.0,0,1,1,0,1,1,0,1,0,1,1,0,0,0.4041369452058934
0.22,1,1.0,1.0,1,0,1,1,0,0,1,1,1,0,1,0,0,0.2731103668336776
0.94,0,0.0,0.25,0,0,1,0,1,0,1,1,1,1,1,1,1,0.6601046208636034
1.05,1,0.0,0.0,0,0,1,0,0,1,1,1,1,1,1,0,1,0.6601046208636034
2.29,0,0.0,0.5,0,0,1,0,1,1,1,1,1,1,1,1,1,0.6156419877437864
1.14,1,0.0,0.75,0,1,1,0,0,1,1,1,1,0,1,0,0,0.43902953061416916
0.9,1,1.0,1.0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.14646429553945794
0.28,1,0.5,0.75,0,0,1,0,0,0,1,1,1,1,1,0,0,0.36820210314246227
0.71,0,0.0,0.0,1,0,0,0,1,1,1,1,1,1,1,1,1,0.1687231588989907
0.96,0,0.5,1.0,1,1,1,1,1,1,1,1,1,0,1,0,1,0.4041369452058934
0.58,1,0.5,0.5,0,0,0,1,1,0,1,1,1,0,1,0,0,0.12366884299436665
0.72,0,0.0,0.5,0,0,1,0,1,1,0,0,1,0,1,1,1,0.6005073284792961
0.73,0,0.0,0.75,0,1,1,0,1,1,1,0,1,1,1,1,1,0.6306164783589376
0.84,0,0.0,0.75,0,0,1,0,0,1,1,0,1,1,1,1,1,0.7994079677421027
0.24,1,1.0,0.5,0,0,1,0,0,1,1,1,1,1,1,0,0,0.2326232808881239
0.28,0,0.5,0.75,1,0,1,0,1,1,1,1,1,1,1,0,0,0.1687231588989907
0.46,1,1.0,1.0,1,0,1,1,1,1,1,1,1,1,0,0,0,0.2731103668336776
1.25,1,0.0,0.0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.42170787336756455
0.76,0,0.0,0.0,0,0,1,0,1,1,1,1,1,1,0,1,1,0.42170787336756455
0.59,0,1.0,1.0,1,1,1,0,0,1,1,1,1,1,1,0,0,0.25306152733850773
0.42,0,0.0,1.0,0,0,1,0,1,1,1,0,1,1,1,1,1,0.7994079677421027
2.42,1,0.0,1.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0.4041369452058934
0.24,0,1.0,0.5,0,1,1,1,0,1,0,1,1,0,0,0,0,0.29279124390711675
1.0,1,0.0,0.25,0,0,0,0,0,0,1,1,1,1,1,0,1,0.05162680166599842
0.6,0,0.0,0.25,1,0,1,1,0,1,1,1,1,0,1,0,1,0.42170787336756455
1.87,1,0.0,0.0,0,0,1,0,1,1,1,1,0,0,1,1,1,0.5852072483626012
1.94,0,0.0,0.75,0,0,1,1,0,1,0,0,1,1,1,0,1,0.9275106159838182
0.87,0,0.0,0.5,0,0,1,0,0,1,0,1,0,1,1,1,1,0.33112562210789265
2.42,0,0.0,0.5,0,1,0,0,1,1,1,1,1,1,0,0,1,0.7994079677421027
1.14,1,0.0,0.0,0,1,1,0,0,1,1,1,1,1,1,0,1,0.5852072483626012
1.8,1,0.0,0.0,0,0,1,0,0,0,1,1,1,0,1,0,1,0.7313417492032841
